data,gerado_em,inscritos,total_videos,visualizacoes_totais,videos_analisados,visualizacoes_soma,curtidas_soma,comentarios_soma,taxa_engajamento_pct
2026-08-05,2026-08-06T01:59:42.165379+00:00,120,203,39009,10,400,24,6,7.5
2026-08-07,2026-08-07T16:25:39.444778+00:00,121,203,39011,18,4683,134,10,3.07
2026-08-08,2026-08-08T15:57:04.445640+00:00,121,203,39013,18,4683,134,10,3.07
2026-08-09,2026-08-09T15:58:55.915219+00:00,121,203,39014,18,4683,134,10,3.07
2026-08-10,2026-08-10T16:24:26.442969+00:00,122,205,39060,18,4693,138,10,3.15
2026-08-11,2026-08-11T16:25:27.761655+00:00,122,205,39067,18,4697,138,10,3.15
2026-08-12,2026-08-12T16:27:23.976792+00:00,122,205,39074,18,4701,138,10,3.15
2026-08-13,2026-08-13T16:26:12.281849+00:00,122,205,39077,18,4702,138,10,3.15
2026-08-14,2026-08-14T16:25:31.261078+00:00,122,205,39077,18,4650,0,0,0.0
2026-08-15,2026-08-15T15:48:06.572451+00:00,122,206,39084,18,4676,135,10,3.1
2026-08-16,2026-08-16T15:48:02.287356+00:00,122,206,39100,18,4680,135,10,3.1
2026-08-17,2026-08-17T15:51:25.645052+00:00,122,207,39100,18,4660,133,10,3.07
2026-08-18,2026-08-18T16:00:15.182795+00:00,122,207,39122,18,4684,134,10,3.07
2026-08-20,2026-08-20T16:00:23.074879+00:00,122,207,39127,18,4690,134,8,3.03
2026-08-21,2026-08-21T15:59:59.395321+00:00,122,207,39128,18,4690,134,10,3.07
2026-08-22,2026-08-22T15:48:42.069737+00:00,122,208,39143,18,4663,131,10,3.02
2026-08-23,2026-08-23T15:49:32.024563+00:00,122,207,39152,18,4654,0,0,0.0
2026-08-24,2026-08-24T16:05:12.767401+00:00,122,207,39152,18,4708,136,10,3.1
2026-08-25,2026-08-25T16:09:44.920565+00:00,122,207,39150,18,4711,136,10,3.1
