data,video_id,tipo,titulo,visualizacoes,curtidas,comentarios
2026-08-05,2V_ErQ4xX6g,video,A JUÍZA me colocou à prova! ⚖️🔥 | Hollow Knight: Silksong,12,1,0
2026-08-05,4y2L5Iz7Y70,video,a COZINHEIRA do SILKSONG! a tão TEMIDA LUGOLI,27,2,0
2026-08-05,7s4YjjhDvxI,video,A BESTA ALADA SELVAGEM em Hollow Knight: Silksong! 🐛🔥 | Melhores Momentos da Live,11,1,0
2026-08-05,C8uZd8NAyU8,video,👽 ENTREI NO FORTNITE COMO O CHAMA DO BEN 10! 🔥,72,5,2
2026-08-05,GA9c9-F7Lok,video,EU NÃO ESTAVA PREPARADO PARA O ASA DO PÂNTANO... | Hollow Knight: Silksong,13,1,0
2026-08-05,JD_fMWlWChY,video,BEN 10 NO FORTNITE! minhas PRIMEIRAS IMPRESSÕES! 👽,166,6,0
2026-08-05,JlJQsxFHUwA,video,DERROTEI A VIÚVA em Hollow Knight: Silksong! 🕷️🔥 | Melhores Momentos da Live,20,1,0
2026-08-05,TXKbSCGmtyA,video,Quando eu enfrentei a TESSELA pela 1a VEZ!  #cortesdalive,23,2,4
2026-08-05,mR-69h2Ohb0,video,DERROTEI OS 2 MUSGO-MÃE AO MESMO TEMPO! 🌿🔥 | Hollow Knight: Silksong | Melhores Momentos da Live,39,3,0
2026-08-05,vqe2uhBtjrI,video,A MELHOR ROTA para a ENTREGA DO NACO DE ENTREGADOR - Hollow Knight Silksong,17,2,0
2026-08-07,0CwAfmb2uV8,live,🔴JOGANDO A NOVA SEASON DO BF 6 🔥,4,0,0
2026-08-07,2V_ErQ4xX6g,video,A JUÍZA me colocou à prova! ⚖️🔥 | Hollow Knight: Silksong,12,1,0
2026-08-07,4y2L5Iz7Y70,video,a COZINHEIRA do SILKSONG! a tão TEMIDA LUGOLI,27,2,0
2026-08-07,7s4YjjhDvxI,video,A BESTA ALADA SELVAGEM em Hollow Knight: Silksong! 🐛🔥 | Melhores Momentos da Live,11,1,0
